rubrique,regime,department,count
2254,Inconnu,68,3
2717,Autorisation,68,4
2770,Autorisation,68,5
2791,,68,3
1510,Autorisation,68,19
153BIS,Inconnu,68,1
255,,68,8
3670,Autorisation,68,2
79,,68,2
91,Autorisation,68,1
2662,Inconnu,68,3
2930,Autorisation,68,6
2930,,68,10
2950,Inconnu,68,1
4110,Inconnu,68,1
4719,Inconnu,68,2
4725,Inconnu,68,2
1185,,68,7
1414,Autorisation,68,3
2630,Autorisation,68,1
2311,Autorisation,68,5
282,,68,4
1BIS,,68,4
251,,68,4
287,,68,1
57,Autorisation,68,2
94,,68,1
96,,68,1
1155,Autorisation,68,3
1171,Autorisation,68,7
1172,Autorisation,68,5
1173,,68,4
1136,Autorisation,68,5
2220,Autorisation,68,5
1415,Autorisation,68,4
1416,Autorisation,68,2
2561,,08,19
1155,Inconnu,68,3
89,Autorisation,68,3
2410,Enregistrement,68,2
50,Autorisation,68,2
2321,,68,2
2330,,68,1
2567,Autorisation,68,7
2795,Autorisation,68,3
289,,68,1
2716,,68,8
2718,,68,1
3531,Autorisation,68,1
2260,Autorisation,68,11
1434,Autorisation,68,15
2221,Enregistrement,68,2
1520,Autorisation,68,3
4801,Autorisation,68,1
2170,Autorisation,68,1
2171,,68,3
2780,,68,1
2780,Enregistrement,68,5
322,Inconnu,68,1
3532,Autorisation,68,2
2564,Enregistrement,68,1
2663,Autorisation,68,8
1450,Autorisation,68,11
1220,Inconnu,08,15
1411,Inconnu,08,1
2260,,08,8
2661,Inconnu,08,8
2662,Inconnu,08,6
2711,Inconnu,08,3
2712,Autorisation,08,4
2713,Autorisation,08,8
2714,,08,4
2920,Inconnu,08,23
2711,Autorisation,68,3
2661,Inconnu,68,4
1715,,68,2
1185,Inconnu,68,2
1532,Inconnu,68,4
2522,,68,1
2524,,68,1
2220,Enregistrement,68,2
2230,Enregistrement,68,1
1530,Autorisation,68,8
4510,Inconnu,68,1
4802,Inconnu,68,2
2931,Autorisation,68,3
2716,Enregistrement,68,1
1411,Autorisation,68,1
1413,Inconnu,68,1
2518,Enregistrement,68,3
2170,,68,4
2716,Inconnu,68,1
1532,Autorisation,68,1
4220,,68,1
4320,Inconnu,68,1
4321,Inconnu,68,1
4734,Inconnu,68,4
255,Inconnu,68,1
1180,Autorisation,68,2
4802,,68,4
1136,Inconnu,68,3
1156,Inconnu,68,1
1111,,68,11
3260,Autorisation,68,4
2760,Enregistrement,68,2
2793,Autorisation,68,1
4210,,68,1
4220,Autorisation,68,1
2510,Autorisation,08,21
2515,,08,10
3660,Autorisation,68,1
2760,Enregistrement,08,4
2980,Autorisation,08,39
2781,Enregistrement,08,2
2910,Enregistrement,08,4
4310,,08,3
2510,Autorisation,10,51
2515,,10,19
1435,Inconnu,08,3
2515,Autorisation,08,19
2517,Autorisation,08,2
2663,Inconnu,08,10
2930,Inconnu,08,7
4310,Inconnu,08,1
4442,Inconnu,08,1
4719,Inconnu,08,3
4734,,08,1
268BIS,Autorisation,51,1
2710,,51,16
2710,Enregistrement,51,6
1450,Autorisation,08,4
2546,Autorisation,08,2
2550,Autorisation,08,2
2717,,08,1
2770,,08,1
2771,Autorisation,08,2
2790,,08,1
3250,Autorisation,08,2
4140,,08,1
4440,,08,1
4801,,08,1
1111,Autorisation,08,4
1131,,08,11
1131,Autorisation,08,2
1138,Autorisation,08,1
1172,Autorisation,08,2
1172,Inconnu,08,10
1173,Inconnu,08,19
1200,Autorisation,08,1
1212,,08,1
1432,Autorisation,08,1
1433,Inconnu,08,6
1434,Autorisation,08,2
1510,,08,8
1523,Inconnu,08,4
1611,Autorisation,08,2
1630,,08,1
2718,Autorisation,08,3
1432,,08,19
1434,,08,14
1530,,08,16
1530,Inconnu,08,14
1532,,08,9
1611,Inconnu,08,9
167,Autorisation,08,11
2170,Autorisation,08,1
2171,,08,2
2260,Autorisation,08,11
2260,Enregistrement,08,1
253,Inconnu,08,6
2663,,08,9
2713,,08,7
2714,Inconnu,08,2
2716,Autorisation,08,2
2760,Autorisation,08,4
2780,Enregistrement,08,3
2780,Autorisation,08,2
2781,Autorisation,08,1
286,Autorisation,08,31
2910,Inconnu,08,26
322,Autorisation,08,6
322,Inconnu,08,1
329,Autorisation,08,3
3532,Autorisation,08,1
3540,Autorisation,08,3
4001,Autorisation,08,1
4320,Inconnu,08,2
4331,Inconnu,08,4
4441,Inconnu,08,3
