rubriques,years,departments,occurrences
81BIS,1983,67,2
141,1975,67,1
2220,2003,67,3
1510,2001,67,4
1510,2011,67,5
1185,2018,67,2
1414,2000,67,4
1434,1814,67,2
1435,2011,67,3
2221,2004,67,1
4734,1814,67,1
1511,1992,67,1
2921,1992,67,1
2925,1992,67,1
4735,1992,67,1
4802,1992,67,1
2711,2007,67,2
2713,2010,67,5
2260,2006,67,1
322,2006,67,5
2560,2016,08,7
2565,2016,08,3
2575,2016,08,4
2940,2016,08,4
4719,2016,08,2
4725,2016,08,2
1414,1999,67,1
211,1996,67,4
2935,2000,67,1
1530,1996,67,4
2410,1996,67,3
2415,1996,67,3
322,2009,67,4
2910,1988,67,1
1532,2016,67,1
153BIS,1985,67,1
89,1985,67,1
1175,1985,67,1
133,1985,67,1
18BIS,1985,67,1
251,1985,67,1
253,1985,67,1
261BIS,1985,67,1
254,1977,67,2
2950,2000,67,1
406,1982,67,1
1111,2007,67,3
1131,2007,67,2
1136,2007,67,1
1141,2007,67,1
1200,2007,67,1
1220,2007,67,6
1411,2007,67,1
7,1930,67,1
7,1948,67,1
355,1989,67,1
1434,2002,67,4
153BIS,1972,67,2
2160,1988,67,1
2160,1995,67,1
255,1972,67,2
2910,1996,67,4
89,1966,67,1
218,1958,67,1
68,1957,67,1
1172,2014,67,2
1611,2000,67,1
2160,2000,67,1
2260,2000,67,5
2515,2000,67,1
89BIS,1972,67,1
2220,2000,67,1
286,1998,67,2
1412,2001,67,3
1520,1814,67,3
268BIS,1992,67,1
2710,2019,67,6
2711,1976,67,1
2712,1976,67,1
2713,1976,67,1
2718,1976,67,1
2790,1976,67,1
2791,1976,67,1
342,1978,67,1
253,1981,67,2
255,1976,67,2
261,1979,67,1
33BIS,1975,67,1
68,1976,67,1
81,1979,67,2
1414,2015,67,2
1435,2015,67,3
4734,2018,67,1
1311,1994,67,1
1311,1972,67,2
1311,1954,67,1
1311,1982,67,3
1311,1987,67,1
1311,1977,67,2
211,1973,67,1
288,1973,67,1
33BIS,1973,67,1
406,1973,67,1
2415,1994,67,1
89,1994,67,1
1532,2009,67,3
2410,2009,67,1
2415,2009,67,1
261,1988,67,1
272,1988,67,2
81,2009,67,1
81BIS,2009,67,1
81QUA,2009,67,1
1220,2002,67,1
1450,2002,67,2
1510,2002,67,7
2925,2018,67,4
4725,2018,67,1
167,1988,67,1
1510,2003,67,8
1510,2016,67,1
2910,2003,67,11
141,1967,67,1
141,1992,67,1
211,1967,67,1
2220,2005,67,1
2220,1970,67,2
2220,1993,67,1
2661,2003,67,3
2662,2003,67,2
2712,2012,67,1
286,1989,67,1
298,1989,67,1
299,1989,67,1
68,1989,67,1
2712,1999,67,1
1435,2002,67,1
2220,2002,67,2
